ID via;TIPO;Via;Tipo via
6756;1;FRANCESCO RISMONDO;Via
6757;1;GEROLAMO SAPORITI;Via
6758;1;SIRO TADDEI;Via
6759;1;TERNI;Via
6760;1;SORRENTO;Via
6761;1;CAPRI;Via
6762;1;ALESSANDRO SILVA;Via
6763;1;GIUSEPPE GALLIANO;Via
6764;1;ANGELO BISI;Via
6765;1;PIETRO CANEVARI;Via
6766;1;FRATELLI PIAZZA;Via
6767;1;ELIGIO BRIGATTI;Via
6768;1;MASANIELLO;Via
6769;1;GABRIELE CAMOZZI;Via
6770;1;DALMINE;Via
6771;1;VAL CANNOBINA;Via
6772;1;CESARE FACCIOLI;Via
6773;1;PISTOIA;Via
6774;1;ANTONIO CERIANI;Via
6775;1;GIUSEPPE GIANELLA;Via
6776;1;GIOVANNI SGAMBATI;Via
6777;1;BEATO MICHELE DA CARCANO;Via
6778;1;BARTOLOMEO CABELLA;Via
6779;1;SANT'APOLLINARE;Via
6780;1;BUDRIO;Via
6781;1;ROANE;Via
6782;1;ANSELMO DA BAGGIO;Via
6783;1;SEGURO;Via
6784;1;FROSINONE;Via
6785;1;CUSAGO;Via
6786;3;ANITA GARIBALDI;Pza
6787;1;DUE GIUGNO;Via
6788;1;ANTONIO MOSCA;Via
6789;1;BENOZZO GOZZOLI;Via
6790;1;RIETI;Via
6791;3;SANT'APOLLINARE;Pza
6792;1;VALLE ISORNO;Via
6793;1;PETRALIA;Via
6794;1;VALLE AURINA;Via
6795;1;MOLTRASIO;Via
6796;1;VAL SENALES;Via
6797;1;VAL DI NOCE;Via
6798;1;VAL MOREA;Via
6799;1;VAL BADIA;Via
6800;1;VAL CAVALLINA;Via
6801;1;DEL PASSERO;Via
6802;1;DELLA RONDINE;Via
6803;1;DELLO STORNO;Via
6804;1;DEL CARDELLINO;Via
6805;1;DEL LUCARINO;Via
6806;1;CANTELLO;Via
6807;1;VALLE ANTRONA;Via
6808;1;VALLE ANZASCA;Via
6809;1;ROSA VERGANI MARELLI;Via
6810;1;SALLY MAYER;Via
6811;1;GIOVANNI DI BREGANZE;Via
6812;1;ANNA KULISCIOFF;Via
6813;1;DEI BENEDETTINI;Via
6814;1;AMBROGIO ALCIATI;Via
6815;1;GIOVANNI ALFONSO BORELLI;Via
6816;1;LORENZO PEROSI;Via
6817;1;POMPEO NERI;Via
6818;1;PIETRO RONDONI;Via
6819;1;FRANCESCO CARLINI;Via
6820;1;PIETRO REDAELLI;Via
6821;1;MARIO DONATI;Via
6822;1;ETTORE ROMAGNOLI;Via
6823;1;GIOVANNI GIOACCHINO WINCKELMANN;Via
6824;1;RAFFAELLO BERTIERI;Via
6825;1;DEGLI ULIVI;Via
6826;1;DEGLI ONTANI;Via
6827;1;DEI LARICI;Via
6828;1;DELLE BETULLE;Via
6829;1;DEI SALICI;Via
6830;1;DEGLI ABETI;Via
6831;1;DEGLI IPPOCASTANI;Via
6832;1;PIO SECONDO;Via
6833;1;CARDINALE EUGENIO TOSI;Via
6834;1;SCIPIONE RIVA ROCCI;Via
6835;1;ARIOLI VENEGONI;Via
6836;1;VALTRAVAGLIA;Via
6837;1;CESARE MANARESI;Via
6838;1;SALVO D'ACQUISTO;Via
6839;1;FRATELLI DI DIO;Via
6840;1;GIOVANNI BATTISTA RASARIO;Via
6841;1;FILIPPO ANGHILERI;Via
6842;1;DELLA MARTINELLA;Via
6843;1;DEL MOLINAZZO;Via
6844;1;GINO ZAPPA;Via
6845;1;LUDOVICO CAVALERI;Via
6846;1;CARLO ANTONIO CARLONE;Via
6847;1;CARLO FORNARA;Via
6848;1;GIUSEPPE CANELLA;Via
6849;1;GIOVANNI SPAGLIARDI;Via
6850;1;GIUSEPPE CHIOSTERGI;Via
6851;3;MADONNA DELLA PROVVIDENZA;Pza
6852;1;GIUSEPPE DI VITTORIO;Via
6853;1;LEOPOLDO POLLAK;Via
6854;1;VALSESIA;Via
6855;3;CESARE STOVANI;Pza
6856;1;ALBERTO CAVALIERE;Via
6857;1;GIOVANNI BENSI;Via
6858;1;MAFALDA DI SAVOIA;Via
6859;1;EUGENIO MONTALE;Via
6860;1;GIULIO NATTA;Via
6861;4;ALBERTO CAMUS;Lgo
6862;1;EUGENIO QUARTI;Via
6863;4;CARLO ALBERTO DALLA CHIESA;Lgo
6864;1;ALDO CARPI;Via
6865;1;GIORGIO DE CHIRICO;Via
6866;1;FRANCESCO SAVERIO NITTI;Via
6867;1;REMIGIO PAONE;Via
